so_no,to_store_code,upc,from_store_code,quantity_to_pick
251915,884,2200869670019,80011,1
251915,884,2200869670026,80011,2
251915,884,2200869670033,80011,2
251915,884,2200870517204,80011,1
251915,884,2200870517228,80011,2
251996,884,2200865586222,80011,1
251996,884,2200865586239,80011,1
251996,884,2200865629721,80011,3
251996,884,2200865629738,80011,2
251996,884,2200865629769,80011,1
251996,884,2200867657043,80011,1
251996,884,2200867657067,80011,1
251996,884,2200867657074,80011,1
251996,884,2200867657081,80011,1
251996,884,2200867657098,80011,1
251996,884,2200867657104,80011,1
251996,884,2200867722833,80011,2
251996,884,2200867722871,80011,1
251996,884,2200867722932,80011,1
251996,884,2200867724585,80011,2
251996,884,2200867724738,80011,3
251996,884,2200867728095,80011,2
251996,884,2200867728125,80011,4
251996,884,2200867728132,80011,2
251996,884,2200867728149,80011,2
251996,884,2200867938913,80011,1
251996,884,2200868009827,80011,1
251996,884,2200868073347,80011,1
251996,884,2200868288222,80011,2
251996,884,2200868288239,80011,1
251996,884,2200868288246,80011,1
251996,884,2200868288260,80011,1
251996,884,2200868471372,80011,1
251996,884,2200868471389,80011,1
251996,884,2200868624846,80011,1
251996,884,2200868681023,80011,1
251996,884,2200868704241,80011,1
251996,884,2200868804378,80011,1
251996,884,2200868804392,80011,1
251996,884,2200868890661,80011,1
251996,884,2200869621981,80011,1
251996,884,2200869622032,80011,1
251996,884,2200869634240,80011,1
251996,884,2200869753163,80011,1
251996,884,2200869832233,80011,1
251996,884,2200869925843,80011,1
251996,884,2200870173851,80011,1
251996,884,2200870316395,80011,1
251996,884,2200870436628,80011,1
251996,884,2200870455933,80011,1
251996,884,2200870554995,80011,1
251996,884,2200870555008,80011,1
251996,884,2200870555039,80011,1
251996,884,2200870599873,80011,1
251996,884,2200870722431,80011,1
251996,884,2200871140227,80011,1
251996,884,2200871242648,80011,1
251996,884,2200871242655,80011,1
251996,884,2200871242679,80011,1
252135,884,2200858548343,80011,1
252135,884,2200868548333,80011,1
252206,820,2200866299411,80011,1
252206,820,2200866779098,80011,1
252206,820,2200867219432,80011,1
252206,820,2200867618051,80011,3
252206,820,2200867618068,80011,3
252206,820,2200867618075,80011,2
252206,820,2200867618082,80011,2
252206,820,2200867696530,80011,1
252206,820,2200868075228,80011,1
252206,820,2200868260044,80011,1
252206,820,2200868260051,80011,1
252206,820,2200868403601,80011,1
252206,820,2200868981055,80011,1
252206,820,2200868981062,80011,1
252206,820,2200869085325,80011,1
252206,820,2200869099841,80011,1
252206,820,2200869101469,80011,5
252206,820,2200869101476,80011,2
252206,820,2200869101483,80011,3
252206,820,2200869101490,80011,5
252206,820,2200869101506,80011,2
252206,820,2200869101513,80011,2
252206,820,2200869154731,80011,1
252206,820,2200869154748,80011,1
252206,820,2200869217276,80011,1
252206,820,2200869392713,80011,1
252206,820,2200869401651,80011,1
252206,820,2200869649619,80011,1
252206,820,2200869704851,80011,1
252206,820,2200869709986,80011,1
252206,820,2200869710036,80011,2
252206,820,2200869793664,80011,1
252206,820,2200869793671,80011,1
252206,820,2200869793701,80011,1
252206,820,2200869861820,80011,1
252206,820,2200869862049,80011,1
252206,820,2200869869611,80011,1
252206,820,2200870144561,80011,3
252206,820,2200870144578,80011,1
252206,820,2200870144585,80011,10
252206,820,2200870144592,80011,6
252206,820,2200870144646,80011,2
252206,820,2200871045560,80011,1
252214,820,2200868501994,80011,1
252214,820,2200869374191,80011,1
252363,893,2200865442221,80011,7
252363,893,2200867216462,80011,3
252363,893,2200867216486,80011,1
252363,893,2200867372120,80011,3
252363,893,2200867372144,80011,1
252363,893,2200867372588,80011,2
252363,893,2200867372595,80011,1
252363,893,2200867575163,80011,3
252363,893,2200868924137,80011,2
252363,893,2200868924144,80011,3
252363,893,2200868924151,80011,3
252363,893,2200868924182,80011,1
252488,975,2200859913553,80011,5
252488,975,2200859913560,80011,4
252488,975,2200859913577,80011,1
252488,975,2200859913621,80011,5
252488,975,2200859913638,80011,4
252488,975,2200859913645,80011,2
252488,975,2200859913836,80011,2
252488,975,2200860040439,80011,3
252488,975,2200860040453,80011,1
252488,975,2200860040460,80011,4
252488,975,2200860326632,80011,1
252488,975,2200860877820,80011,1
252488,975,2200860877851,80011,1
252488,975,2200860944171,80011,2
252488,975,2200860969433,80011,2
252488,975,2200860969440,80011,1
252488,975,2200861181414,80011,2
252488,975,2200861181926,80011,1
252488,975,2200861777204,80011,1
